year,election_type,ward,ed_num,ed_label,shapefile_key,Mark J F Schroeder,Byron W Brown,Betty Jean Grant,Taniqua Simmons,Beverly A. Gray,Anthony M. Masiello,"Blank, Void & Scattering",TOTAL,Judith Einach Write In,Steven A. Calvaneso,Byron W. Brown,Kevin P. Gaughan,Kevin J. Helfer,Charles J. Flynn,Judith S. Einach,Michael P. Kearns,Bernie Tolbert,Sergio R. Rodriguez,Anita L Howard,Terrence A Robinson,total,India B. Walton,Le'Candice M. Durham,Blank,Void,Scattering,Total,Byron Brown,Ben Carlisle,Jaz Miles,William O'Dell,"Blank, Void, and Scattering",Christopher P. Scanlon,Anthony J.P. Tyson-Thompson,Rasheed N.C. Wyatt,Garnell Whitfield Jr.,Sean M. Ryan,Michael Gainer,James R. Gardner,Michael Gainer Restore Buffalo,Kevin Gay,Charles A. Notaro
2017,primary,SOU,12,Sou 012,Buffalo SOU 12,90.0,39.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,SOU,13,Sou 013,Buffalo SOU 13,221.0,67.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,SOU,14,Sou 014,Buffalo SOU 14,171.0,40.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,SOU,16,Sou 016,Buffalo SOU 16,170.0,62.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,SOU,18,Sou 018,Buffalo SOU 18,272.0,52.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,SOU,22,Sou 022,Buffalo SOU 22,292.0,76.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,SOU,24,Sou 024,Buffalo SOU 24,435.0,80.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,SOU,27,Sou 027,Buffalo SOU 27,180.0,50.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,SOU,28,Sou 028,Buffalo SOU 28,440.0,83.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,UNI,1,Uni 001,Buffalo UNI 1,130.0,186.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
